#N/A	Geneid	Fmr1_RPF_4	control_RPF_3	Fmr1_RNA_2	Fmr1_RPF_1	control_RPF_2	Fmr1_RPF_5	Fmr1_RPF_6	Fmr1_RNA_3	Fmr1_RNA_4	Fmr1_RPF_2	control_RNA_2	Fmr1_RNA_6	control_RPF_4	control_RNA_3	Fmr1_RPF_7	Fmr1_RNA_5	Fmr1_RNA_1	control_RNA_1	Fmr1_RPF_3	control_RPF_1			#SUBMITTED ID	SYMBOL
lost	FBgn0263594	9	4122	90694	4789	3696	3273	1214	79977	84758	3216	69054	83964	1798	80118	2109	84180	85190	70625	3079	18			FBgn0267976	Tim23
CG32944	FBgn0052944	0	3	27	0	2	0	0	26	27	0	20	28	0	23	0	20	31	24	1	0			FBgn0022787	Hel89B
CG31528	FBgn0051528	0	0	3	0	0	0	0	3	8	0	1	3	0	0	1	4	2	1	0	0			FBgn0038830	CG17272
srl	FBgn0037248	3	217	32332	478	321	309	109	31207	40757	296	32112	33036	210	39033	163	36780	32054	34375	268	0			FBgn0037057	CG10512
CG31525	FBgn0051525	0	0	48	1	0	0	0	71	54	0	35	54	0	34	0	35	65	40	0	0			FBgn0039213	atl
eIF3a	FBgn0037249	12	2235	27396	2585	3117	1971	1017	25754	29696	1333	22318	26829	1114	24618	1159	27905	27831	22610	1788	15			FBgn0283471	wupA
CG1074	FBgn0037250	0	118	401	138	109	113	41	315	356	65	371	357	61	449	59	417	378	420	69	1			FBgn0037262	MED31
CG9804	FBgn0037251	0	11	37	31	32	22	10	39	46	12	43	38	26	51	4	48	44	44	15	0			FBgn0027586	CG5867
CG14650	FBgn0037252	0	65	6400	86	70	64	17	5904	7342	50	6445	6023	27	7537	38	6283	6033	6999	37	0			FBgn0051852	Tap42
CG31522	FBgn0051522	0	29	1279	57	54	55	17	1150	1226	40	1301	1041	17	1395	10	1086	1219	1327	62	0			FBgn0036815	HipHop
CG31523	FBgn0051523	0	190	7402	124	69	88	46	7058	9314	74	8371	7624	51	9642	41	8423	7839	8787	100	0			FBgn0000261	Cat
CG14651	FBgn0037254	0	0	1	0	0	0	1	4	9	0	4	2	0	0	0	6	5	3	0	0			FBgn0033688	Prp8
Fip1	FBgn0037255	1	356	3504	359	321	265	138	4139	5171	180	4346	3629	173	5074	173	4637	3857	4952	279	4			FBgn0034512	Bbd
CG34357	FBgn0085386	0	1	8	0	0	0	0	10	15	0	4	8	0	11	0	6	9	1	0	0			FBgn0031677	CG14036
CG34425	FBgn0085454	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0			FBgn0267365	l(2)SH0834
Mur82C	FBgn0037260	0	1	1	0	0	0	0	3	3	0	2	2	0	3	1	3	1	3	0	0			FBgn0033683	CG18343
CG32945	FBgn0052945	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			FBgn0034726	PolE4
5-HT2A	FBgn0087012	0	0	34	3	1	0	0	24	22	0	7	33	0	11	0	16	39	8	0	0			FBgn0250789	alpha-Spec
CG9775	FBgn0037261	1	329	6621	503	448	368	161	6427	7606	294	6998	6606	243	7813	186	7073	6820	7566	300	2			FBgn0032264	Lip4
slx1	FBgn0037263	0	3	399	15	9	15	7	487	500	19	427	395	6	490	9	495	456	473	12	0			FBgn0031913	CG5958
MED31	FBgn0037262	0	78	1988	135	73	108	38	2015	2421	78	2472	1935	48	2883	74	2284	2199	2860	113	7			FBgn0028690	Rpn5
Dlip2	FBgn0040466	0	19	919	50	32	35	13	873	911	20	1405	783	26	1614	12	857	956	1416	28	0			FBgn0002773	Mlc2
rpk	FBgn0022981	1	207	3977	332	216	193	57	3950	4387	177	4232	3858	132	5004	110	4301	4301	4856	201	2			FBgn0027080	TyrRS
Karybeta3	FBgn0087013	13	2014	34287	2462	2147	1650	818	26232	28302	1619	22354	30525	994	23781	985	26835	30592	19871	1496	4			FBgn0034258	eIF3c
spartin	FBgn0037265	0	63	602	76	75	48	21	532	514	35	465	456	35	540	28	472	614	427	43	0			FBgn0024234	gbb
smash	FBgn0263346	1	235	9590	235	258	252	88	8265	9162	137	8224	8279	143	9460	137	7979	8643	8200	185	0			FBgn0032214	CG4968
CG33927	FBgn0053927	0	0	2	0	0	0	0	2	1	0	1	1	0	1	0	1	3	1	0	0			FBgn0038429	CG14882
eIF3f1	FBgn0037270	3	367	12162	405	381	240	122	11044	13292	273	10704	11196	136	11670	143	11926	12368	11616	260	10			FBgn0003137	Ppn
Nep2	FBgn0027570	0	119	387	285	181	298	75	329	340	93	229	308	93	267	46	399	221	263	143	2			FBgn0032727	CG10623
tacc	FBgn0026620	2	991	11657	1459	1292	1343	504	11448	13952	683	12089	11925	864	14483	634	13682	12054	12546	830	12			FBgn0260768	CG42566
atms	FBgn0010750	0	190	3417	328	236	188	78	3630	4682	176	4114	3833	112	4711	153	4463	3767	4548	224	1			FBgn0266696	Svil
CG44098	FBgn0264907	0	0	33	3	2	0	1	14	6	0	8	14	0	8	0	7	19	10	0	0			FBgn0003149	Prm
CG44088	FBgn0264897	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			FBgn0051368	CG31368
CG14655	FBgn0037275	0	0	131	1	0	0	0	106	90	0	103	120	0	94	0	119	103	129	0	0			FBgn0003479	spn-A
CG17387	FBgn0037276	0	0	8	0	0	0	0	1	2	0	2	1	0	2	0	2	6	1	0	0			FBgn0002789	Mp20
ctrip	FBgn0260794	1	933	38488	726	1236	494	217	35276	45824	346	38139	36273	636	44346	293	37738	36700	38622	444	3			FBgn0283681	Tcs3
Hus1-like	FBgn0026417	1	50	271	44	48	48	33	267	402	27	382	278	23	413	17	383	297	405	44	0			FBgn0034400	CG15099
CG1129	FBgn0037279	0	172	1501	197	129	174	84	1365	1518	92	1581	1420	92	1727	101	1480	1466	1587	126	0			FBgn0265988	
BBS5	FBgn0037280	0	0	2	0	0	0	0	2	1	0	1	1	0	6	0	0	1	1	0	0			FBgn0034194	CG15611
CG14657	FBgn0037282	0	29	3289	9	17	9	3	2722	3209	9	2636	2776	4	3164	6	2826	3113	2547	4	0			FBgn0266446	CG45076
CG14658	FBgn0037283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			FBgn0005632	faf
CG14659	FBgn0037284	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			FBgn0043002	Chrac-14
opa	FBgn0003002	0	0	0	0	0	0	0	0	25	0	21	13	0	18	0	22	0	18	0	0			FBgn0004391	shtd
laf	FBgn0020280	0	0	0	0	0	0	0	1	0	0	0	3	0	3	0	0	0	3	0	0			FBgn0087021	Spc25
Gnf1	FBgn0004913	0	617	12084	819	661	732	283	12466	15490	480	14064	11734	410	17061	410	14010	12948	15620	554	0			FBgn0051156	CG31156
Cdep	FBgn0265082	0	79	1364	92	63	50	28	1027	841	45	565	1099	32	520	40	885	1256	476	39	0			FBgn0036448	mop
Ubc6	FBgn0004436	1	241	4720	309	174	252	110	4096	4949	224	4590	4334	103	5352	144	4958	4784	4850	252	0			FBgn0034176	ste24a
CG14661	FBgn0037288	0	1	10	2	0	4	3	6	10	0	9	7	0	4	5	11	5	3	0	0			FBgn0010473	tutl
CG2016	FBgn0250839	0	0	1	0	0	0	0	1	1	0	0	0	0	1	0	2	0	1	0	0			FBgn0027949	msb1l
CG1124	FBgn0037290	0	19	13	7	8	13	4	4	17	3	31	10	5	9	11	6	26	25	4	0			FBgn0038108	CG7518
CG14662	FBgn0037291	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	1	0	0	0			FBgn0011481	Ssdp
plh	FBgn0037292	0	0	2	0	1	0	0	0	2	0	2	4	0	1	0	1	0	0	1	0			FBgn0261592	RpS6
corto	FBgn0010313	4	94	11200	150	171	77	24	10165	12428	60	11425	11406	61	12862	43	10797	10784	12170	74	0			FBgn0032684	Ugt301D1
CG43131	FBgn0262605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			FBgn0039687	Naa40
RabGGTa	FBgn0037293	0	97	957	119	84	86	40	885	929	61	924	803	47	1053	49	885	871	929	69	0			FBgn0013763	Idgf6
CG12589	FBgn0040684	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0			FBgn0001296	kar
dpr16	FBgn0037295	0	0	0	0	0	0	0	1	0	0	1	5	0	0	0	1	0	0	0	0			FBgn0038327	Trax
CG12590	FBgn0037294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			FBgn0053519	Unc-89
cno	FBgn0259212	5	512	13508	394	358	410	158	11242	13695	261	12772	12203	269	14441	260	11341	12536	12340	354	0			FBgn0051184	LSm3
Prosbeta2R2	FBgn0037296	2	0	7	0	1	0	0	7	9	0	4	6	1	10	0	5	7	4	0	0			FBgn0000316	cin
CG1116	FBgn0037297	1	75	1666	89	69	74	33	1522	1923	41	1773	1709	38	1918	61	1778	1651	1843	52	10			FBgn0004436	Ubc6
Sccpdh1	FBgn0037298	1	138	3822	175	140	109	45	3704	4725	95	4376	3984	61	5006	62	4253	3966	4641	101	1			FBgn0034054	CG8366
CG14664	FBgn0040682	0	0	3	0	0	0	0	2	2	0	1	4	0	1	0	4	1	0	0	0			FBgn0010228	HmgZ
Vps37B	FBgn0037299	0	113	1054	109	95	87	30	1013	1202	78	1049	1088	50	1193	70	1148	1055	1168	67	12			FBgn0030956	CG18259
Kat60	FBgn0040208	7	298	4558	247	243	213	93	4935	5716	175	4831	4473	141	5703	121	5255	4743	5365	220	5			FBgn0040491	Buffy
Mms19	FBgn0037301	2	251	2696	238	231	144	50	2344	2903	128	2680	2503	115	3080	93	2667	2600	2715	176	1			FBgn0039270	PQBP1
rtp	FBgn0087005	0	0	2	0	0	0	0	1	1	0	0	4	0	0	0	0	1	3	1	0			FBgn0036199	Bmcp
CtsF	FBgn0260462	4	950	9452	1305	972	861	334	10020	11345	613	9519	8838	526	10951	578	10347	10205	10444	800	3			FBgn0259209	Mlp60A
CG33293	FBgn0053293	0	0	5	0	0	0	0	6	13	0	12	19	0	4	0	6	17	6	0	0			FBgn0003607	Su(var)205
CG1113	FBgn0037304	0	0	38	0	3	0	0	31	33	0	27	25	0	46	0	26	31	25	0	0			FBgn0023174	Prosbeta2
CG12173	FBgn0037305	0	190	1586	251	163	186	79	1385	1701	172	1600	1491	113	1661	103	1772	1494	1559	177	0			FBgn0000447	Dhod
Hph	FBgn0264785	0	75	6812	85	62	50	21	6553	7794	31	7610	6351	29	8789	31	7232	6834	8360	60	0			FBgn0250868	CG42239
Tim17a2	FBgn0037307	1	0	4	0	0	0	0	6	2	0	3	6	0	5	0	3	5	5	0	0			FBgn0002733	E(spl)mbeta-HLH
mtd	FBgn0013576	23	1506	20011	1728	2021	1324	601	19440	22913	811	18757	18206	1136	21952	859	20034	20724	19267	1073	11			FBgn0039232	sosie
CG31538	FBgn0051538	0	1	27	0	5	0	1	14	20	0	17	40	0	14	1	20	27	6	0	0			FBgn0035120	wac
Tim17b1	FBgn0037310	0	0	13	0	0	0	4	7	7	0	5	14	0	4	0	10	9	6	0	0			FBgn0261380	mRpL37
CG11999	FBgn0037312	1	141	1498	183	117	98	54	1412	1793	115	1730	1428	63	1983	68	1735	1516	2002	125	11			FBgn0032634	Polr2J
CG1161	FBgn0037313	0	429	2322	451	407	331	136	1927	2160	228	2170	2127	236	2332	154	2058	2204	2458	349	2			FBgn0035210	msd5
Prosbeta7	FBgn0250746	9	1000	9142	1318	938	978	423	8767	10962	895	10265	8828	597	11483	609	10048	9361	11548	1045	5			FBgn0085436	Not1
Cerk	FBgn0037315	1	130	4838	116	80	88	27	4266	5645	53	5072	4385	51	5542	39	4936	4796	5171	83	0			FBgn0002772	Mlc1
CG34277	FBgn0085306	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			FBgn0001257	ImpL2
CG31542	FBgn0051542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			FBgn0016756	Usp47
Polr2F	FBgn0003275	2	247	1599	391	360	320	108	1373	1790	205	1600	1628	154	1611	116	1591	1454	1574	177	3			FBgn0047114	CG31142
hd	FBgn0086695	3	266	2846	358	274	207	116	2786	4064	135	3643	2961	124	4305	141	3497	2876	4093	154	2			FBgn0038321	CG6218
CG14667	FBgn0037317	3	51	1000	67	67	59	13	973	1264	42	1201	920	32	1407	31	1155	1108	1357	65	0			FBgn0034723	CG13506
7B2	FBgn0041707	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0			FBgn0003068	per
kkv	FBgn0001311	0	0	15	0	2	1	0	6	16	0	13	5	0	10	0	11	17	14	0	0			FBgn0016075	vkg
CG14668	FBgn0037320	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			FBgn0034399	CG15083
CG1172	FBgn0264712	0	18	3803	48	32	25	5	3577	4472	9	4174	3984	13	4877	2	4236	3698	4542	21	0			FBgn0027655	htt
Or83a	FBgn0037322	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0			FBgn0037344	CG2926
CG2663	FBgn0037323	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0			FBgn0036248	ssp
Orco	FBgn0037324	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			FBgn0033919	CG8547
CG14669	FBgn0037326	0	0	6	0	0	0	0	7	4	0	2	4	0	2	0	3	8	0	0	0			FBgn0034724	babos
CG12147	FBgn0037325	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0			FBgn0035209	msd1
PEK	FBgn0037327	1	65	5729	102	96	51	23	4978	6681	43	6049	5172	36	7056	37	5663	5306	5779	37	0			FBgn0264695	Mhc
RpL35A	FBgn0037328	13	2238	34280	1514	1972	1198	460	24136	27658	1104	20566	26862	680	20042	858	25119	29249	17959	1396	10			FBgn0030615	Cyp4s3
POLDIP2	FBgn0037329	0	36	1527	48	31	26	9	1522	1963	35	1662	1610	9	1809	14	1574	1563	1755	30	0			FBgn0050021	metro
mRpL44	FBgn0037330	2	183	1316	209	206	195	80	1428	1578	134	1457	1410	133	1618	81	1565	1476	1481	168	1			FBgn0003890	betaTub97EF
Snr1	FBgn0011715	1	133	4252	238	149	131	80	4229	5736	122	4923	4193	81	5902	91	5077	4530	5642	163	1			FBgn0000299	Col4a1
CG45100	FBgn0266539	0	3	0	8	11	5	2	0	0	5	0	0	2	0	2	0	0	0	0	0			FBgn0032167	CG5853
HDAC3	FBgn0025825	0	20	0	104	53	67	22	0	0	41	0	0	32	0	52	0	0	0	43	0			FBgn0265274	Inx3
Hcs	FBgn0037332	0	56	2481	91	71	90	24	2452	2893	57	2597	2346	45	3113	26	2732	2524	2667	49	0			FBgn0285963	CG46339
ksr	FBgn0015402	0	7	2528	27	25	13	9	2136	2478	7	2443	2213	14	2678	8	2039	2363	2447	4	0			FBgn0001990	wek
CG31550	FBgn0051550	1	85	2949	131	99	95	47	2823	3417	83	2814	2843	61	2992	69	3013	2959	2974	100	9			FBgn0034614	CG9752
NKCC	FBgn0051547	1	4	259	2	6	5	4	158	115	1	75	148	1	58	2	122	190	65	3	0			FBgn0261554	CG42672
Nmdar1	FBgn0010399	0	0	11	1	1	1	0	14	2	4	5	5	0	2	0	3	14	0	0	1			FBgn0000542	ec
Itpr	FBgn0010051	2	155	6403	151	199	128	63	4839	5860	126	4660	5423	100	5145	104	4834	5681	4335	168	3			FBgn0030484	GstT4
CG43845	FBgn0264427	0	0	6	0	0	0	0	1	3	0	3	0	0	5	0	2	3	2	0	0			FBgn0038651	Epg5
CG2519	FBgn0037336	0	100	9307	114	131	76	25	8381	10514	40	8718	8842	52	9756	43	9249	8926	8647	60	2			FBgn0035996	CG3448
mia	FBgn0014342	1	7	88	25	12	17	5	84	68	11	44	74	7	45	6	75	80	46	17	0			FBgn0010435	emp
Pcmt	FBgn0086768	0	21	1687	28	18	10	6	1447	1615	10	1500	1574	12	1443	5	1506	1657	1495	11	0			FBgn0003062	Fib
Snm1	FBgn0037338	1	122	3674	124	132	93	43	3685	4720	90	4023	3483	62	4925	49	4516	3855	4534	92	0			FBgn0033740	dgt5
Pi4KIIalpha	FBgn0037339	0	165	4729	268	157	190	73	4398	5386	115	4675	4631	110	5425	70	4789	4648	4841	169	0			FBgn0039857	RpL6
CG14671	FBgn0037340	1	113	456	103	105	104	45	425	520	77	525	413	27	614	48	526	483	561	82	0			FBgn0010397	LamC
CG12746	FBgn0037341	0	51	1539	74	51	54	18	1561	2043	35	1805	1568	27	2003	17	1811	1632	1889	59	0			FBgn0038857	Bdbt
CG2931	FBgn0037342	1	204	1551	297	223	186	100	1642	2147	122	1786	1668	144	2193	90	1880	1634	2175	200	0			FBgn0022160	Gpo1
Rheb	FBgn0041191	0	362	3525	431	386	326	167	3322	3855	260	3877	3229	198	4391	234	3738	3640	4186	356	0			FBgn0014343	mirr
CRMP	FBgn0023023	0	42	253	15	16	15	6	228	156	6	146	236	10	133	10	209	254	143	7	0			FBgn0027574	CG5815
CG2926	FBgn0037344	3	312	14518	246	302	174	69	13005	16444	170	13269	13155	145	15802	122	13479	13810	13220	155	1			FBgn0020767	Spred
PolZ2	FBgn0037345	0	14	337	11	8	13	1	286	335	6	388	323	7	389	17	337	370	425	31	0			FBgn0038575	CG7208
noi	FBgn0014366	0	192	2954	226	151	141	79	3048	3936	168	3178	2960	78	3813	94	3611	3129	3515	147	0			FBgn0260004	Snmp1
Vha26	FBgn0283535	3	723	31944	775	742	541	138	26732	27350	550	23589	28687	436	27058	381	28687	29777	24202	633	7			FBgn0033081	geminin
kra	FBgn0250753	11	2757	62301	3306	2397	2595	1381	62505	68422	1844	61883	58789	1327	72522	1403	69715	65563	65020	2638	6			FBgn0028572	qtc
SecS	FBgn0037347	1	115	1699	207	130	142	52	1449	1815	94	1675	1579	80	1783	85	1884	1659	1619	169	1			FBgn0027948	msps
asl	FBgn0261004	0	129	4102	177	139	111	56	3882	4772	109	4152	4308	75	4983	69	4654	4022	4494	83	0			FBgn0030675	CG8191
Rga	FBgn0017550	7	387	5098	414	318	283	88	4701	5613	205	5751	5029	208	6284	191	5197	4966	6074	296	5			FBgn0036732	Oatp74D
Atu	FBgn0019637	1	188	0	251	178	160	53	0	0	134	0	0	100	0	126	0	0	0	166	2			FBgn0032248	Bug22
Spec2	FBgn0044823	0	12	2469	24	15	14	5	2577	3149	7	3055	2375	4	3637	8	2884	2630	3346	7	0			FBgn0037541	CG2747
Dph4	FBgn0037350	0	25	328	10	6	11	3	330	362	14	302	308	0	370	10	336	373	308	11	0			FBgn0030955	CG6891
RpL13A	FBgn0037351	11	2201	64613	2043	2243	1251	472	52853	53109	1425	40135	54692	755	40177	954	47618	60664	39483	1437	17			FBgn0085376	CG34347
CG31551	FBgn0051551	0	8	1	0	0	0	0	12	11	0	8	9	0	10	0	15	4	8	0	0			FBgn0261608	RpL37A
CG31549	FBgn0051549	0	307	2897	366	307	220	101	2850	3584	242	3165	3060	171	3672	156	3196	2972	3570	303	1			FBgn0002284	Prosbeta6
CG12171	FBgn0037354	5	362	1513	520	460	360	178	1320	1721	307	1860	1439	274	2211	204	1748	1457	2074	415	8			FBgn0034761	CG4250
CG31546	FBgn0051546	0	0	3	0	0	0	0	5	5	0	1	11	0	4	0	6	10	10	0	0			FBgn0031762	CG9098
CG31548	FBgn0051548	0	95	1557	128	97	79	27	1432	1627	81	1566	1484	49	1793	64	1417	1541	1648	110	5			FBgn0004364	
CG12170	FBgn0037356	0	53	691	84	78	61	18	650	712	40	738	654	38	794	44	579	673	773	64	0			FBgn0030801	Polr3I
MTA1-like	FBgn0027951	0	200	11875	239	194	144	78	10993	15133	126	12412	11738	92	14363	80	13174	11868	13405	158	2			FBgn0024371	E2f2
Sec23	FBgn0262125	5	729	6597	969	939	718	337	6143	8008	635	6942	6615	601	7623	542	6819	6720	7233	726	4			FBgn0054015	CG34015
elm	FBgn0037358	0	223	4312	320	304	249	84	3874	4461	145	4141	3950	103	4642	123	4714	4260	4310	233	1			FBgn0260407	mRpS23
MED27	FBgn0037359	5	57	910	85	48	67	39	940	965	47	1067	813	34	1229	18	941	975	1191	55	0			FBgn0034579	mRpL54
